id_wikidata	article	subject	avg_pv	avg_pv_prev	size	size_prev	notes	notes_prev	images	images_prev	references	references_prev	incipit_size	incipit_on_size	incipit_prev	issues	issues_prev	issue_sourceNeeded	issue_clarify	discussion_size	discussion_prev	first_edit	days	all_visits	VdQ	vetrina	galleria_su_Commons	pagina_su_commons	pagina_su_wikisource
Q1622659	Hockey	Educación física y recreación	1277	1138	32235	-	20	-	22	-	0	-	2034	6.31	-	0	-	0	0	0	-	2001-10-21	7741	ERROR	0	0	Hockey		
Q7365	Muscle	Educación física y recreación	505	257	20849	-	13	-	8	-	0	-	1969	9.44	-	0	-	0	0	0	-	2007-08-06	5626	ERROR	0	0	Muscles	Muscle	
non-existent article	Circu					-		-		-	0	-		0	-	0	-	0	0		-		0						
