Respiración (fisiología)
Oligarquía
Acentuación (música)
Separación de poderes
Narrativa poética
Lupa
Velocidad angular
Fractura ósea
Ángeles Mastretta
Tratamiento de aguas residuales
Reanimación cardiopulmonar
Popol Vuh
Parasitismo
Conjugación
Sujeto (gramática)
Sujeto (gramática)
Marcador del discurso
Emulsión
Urbanización cerrada
Roberto Arlt
Control de versiones
Sociolingüística
Licencia
Ethernet
Imperio español
Agricultura ecológica
Educación física
Educación física
Educación física
Composición (artes visuales)
Sensor
Sensor
Sensor
Motor eléctrico
Derecho romano
Contraseña
Espermatozoide
Mediana (geometría)
Impresión 3D
Leitmotiv
Sufragio
Periférico de entrada/salida
Ovulación
Violencia doméstica
Fórmula molecular
Flash (fotografía)
Proyección cartográfica
Disco (topología)
Descentralización
Composición (lingüística)
Juego de rol
Juego de rol
Ciencia de materiales
Género gramatical
Arte islámico
Eje (mecánica)
Género musical
Triángulo rectángulo
Leyes de Kirchhoff
Leyes de Kirchhoff
Momento angular
Internet de las cosas
Internet de las cosas
Internet de las cosas
Bioconstrucción
Democracia ateniense
Juana de Ibarbourou
Amanda Berenguer
Acampada
Manejo de recursos hídricos en Uruguay
Griselda Gambaro
Período helenístico
Reglamento
Robo de identidad
Balón prisionero
Balón prisionero
Balón prisionero
Plan Cóndor
Megalópolis
Maltrato infantil
Alfabetismo digital
Alfabetismo digital
Alfabetismo digital
Capa de ozono
Capa de ozono
Mitología maya
Ciclo hidrológico
Arquitectura del Renacimiento
Ciclo hidrológico
Gabriela Mistral
Arquitectura sumeria
Alfonsina Storni
Intolerancia a la lactosa
Realidad aumentada
Realidad aumentada
Excreción
Excreción
Gel
Descubrimiento de América
Citoplasma
Retículo endoplasmático
Arquitectura de la Antigua Roma
Diseño industrial
Soneto
Sustancia química
Recurso natural
Recurso natural
Género literario
Socialización
Historia de la tecnología
Agua subterránea
Religión del Antiguo Egipto
Ecología del suelo
Cadena trófica
Vigilia (estado de conciencia)
Cuenca del Mediterráneo
Delmira Agustini
Hipotálamo
Movimiento (física)
Sistema nervioso simpático
Circuito integrado
Elena Garro
Abstracción (informática)
Juventud
Antonio Larreta
Esguince
Mutualismo (biología)
Estereotipo
Programación
Programación
Programación
Electronegatividad
Factores abióticos
Cuenca hidrográfica
Sinapsis
Pruebas de software
Pruebas de software
Vals
Vals
Vals
Vals
Robótica
Robótica
Antropocentrismo
Adaptación biológica
Polaridad (química)
Registro lingüístico
Comensalismo
Democracia liberal
Expresión corporal
Expresión corporal
Expresión corporal
Acrobacia
Acrobacia
Economía circular
Sistema de información geográfica
Sistema tegumentario
Modelo científico
Álgebra de Boole
Enlace metálico
Ley de conservación de la materia
Antiséptico
Dibujo técnico
Diseño
Diseño
Cortesía
Ernesto Cardenal
Dinámica (música)
Sufijo
Mínimo común múltiplo
Artículo (gramática)
Artículo (gramática)
Gráfico vectorial
Estrógeno
Solubilidad
Fertilizante
Perspectiva axonométrica
Código de Hammurabi
Realidad virtual
Realidad virtual
Ciberacoso
Ciberacoso
Licencias Creative Commons
Tensoactivo
Pentagrama
José Martí
Sistema de referencia inercial
Gigantismo
Literatura posmoderna
Derechos digitales
Derechos digitales
Racionalismo
Planeamiento
Cristina Peri Rossi
Aculturación
Pandereta
Dignidad
Cristalización
Espacio público
Sexo seguro
Sexteo
Sexteo
Pubertad
Pubertad
Pubertad
Semejanza (geometría)
Semejanza (geometría)
Merengue (género musical)
Expansión musulmana
Dominio de una función
Dominio de una función
Cigoto
Democracia participativa
Regla y compás
Regla y compás
Proyecto
Homo
Teoría musical
Centro de gravedad
Centro de gravedad
Nicho ecológico
Arte del Antiguo Egipto
Deforestación
Sistema nervioso autónomo
Zona franca
Salud mental
Salud mental
Toxicidad
Métrica
Tipo de dato
La forma sigue a la función
Perspectiva caballera
Areté
Implantación del embrión humano
Polígono construible
Figura musical
Educación sexual
Batería (electricidad)
Recursión (ciencias de computación)
Antiácido
Glucemia
Número másico
Esquema eléctrico
Aparato de Golgi
Enanismo
Gonorrea
Fuerzas Armadas de Uruguay
Ecuación de primer grado
Homeostasis
Léxico del español
Depredación
Creatividad
Escondite
Escondite
Escondite
Fitorremediación
Grafeno
Sistema nervioso periférico
Música cinematográfica
Base de datos relacional
Ciclo sexual femenino
Scratch (lenguaje de programación)
Scratch (lenguaje de programación)
Ritmo
Ritmo
Imagen
Religión sumeria
Consumismo
Transparencia (física)
Melodía
Laboratorio
Criollo
Humedal
Personaje
Pulso
Punto de inflamabilidad
Puntillismo
Acuífero Guaraní
Espasmo muscular
Arquitectura gótica
Interacción social
Oikos
Reproducción asexual
Trasplante (medicina)
Timbre (acústica)
Variable aleatoria
Variable aleatoria
Electrón de valencia
Acrobacia aérea
Acrobacia aérea
Historiador
Circunferencia circunscrita
Sintagma adjetivo
Sintagma adjetivo
Inmunidad pasiva
Monarquía romana
Participación ciudadana
Juan Rulfo
Simbiosis
Industrialización
Fase (materia)
Música del mundo
Triángulo (instrumento musical)
Saneamiento ecológico
Joaquín Torres García
Conductor eléctrico
Cálculo mental
José Hernández
Gimnasia artística
Escuadrones de la muerte (Uruguay)
Megaciudad
Jaime Roos
Números coprimos
Aprendizaje profundo
Aprendizaje profundo
Cambio climático
Cambio climático
Fecundación in vitro
Asociación Latinoamericana de Integración
Distribución de probabilidad
Perpendicularidad
Perpendicularidad
Faringe
Netiqueta
Religiones afroamericanas
Esófago
Inseminación artificial
Terremoto del Río de la Plata de 1888
Agroindustria
Agroindustria
Comunicación no verbal
Viviparidad
Desgarro muscular
Circe Maia
Violencia
